发布日期,时间,今值,预测值,前值,,今值,预测值,前值,,今值,预测值,前值
2018/8/15,20:30,0.60%,0.40%,0.20%,,0.50%,0.20%,0.20%,,0.50%,0.40%,-0.10%
2018/7/16,20:30,0.40%,0.40%,1.40%,,0.50%,0.50%,1.30%,,0.00%,0.40%,0.80%
2018/6/14,20:30,0.90%,0.50%,0.40%,,0.80%,0.40%,0.40%,,0.50%,0.40%,0.60%
2018/5/15,20:30,0.30%,0.50%,0.40%,,0.30%,0.40%,0.80%,,0.40%,0.40%,0.50%
2018/4/16,20:30,0.20%,0.20%,0.20%,,0.60%,0.40%,-0.10%,,0.40%,0.40%,0.10%
2018/3/14,20:30,0.20%,0.30%,0.10%,,-0.10%,0.30%,-0.10%,,0.10%,0.40%,-0.20%
2018/2/14,21:30,0.00%,0.50%,0.10%,,-0.30%,0.20%,0.40%,,0.00%,0.40%,-0.20%
2018/1/12,21:30,0.40%,0.40%,1.30%,,0.40%,0.40%,0.90%,,0.30%,0.40%,1.40%
2017/12/14,21:30,1.00%,0.70%,0.40%,,0.80%,0.30%,0.50%,,0.80%,0.30%,0.40%
2017/11/15,21:30,0.10%,0.20%,1.20%,,0.20%,0.10%,1.90%,,0.30%,0.40%,0.50%
2017/10/13,20:30,1.00%,0.30%,0.50%,,1.60%,1.70%,-0.10%,,0.40%,0.40%,-0.20%
2017/9/15,20:30,0.20%,0.50%,0.40%,,-0.20%,0.10%,0.30%,,-0.20%,0.30%,0.60%
2017/8/15,20:30,0.50%,0.30%,0.10%,,0.60%,0.40%,0.30%,,0.60%,0.40%,0.10%
2017/7/14,20:30,-0.20%,0.20%,-0.30%,,-0.20%,0.10%,-0.10%,,-0.10%,0.30%,0.00%
2017/6/14,20:30,-0.30%,0.20%,0.40%,,-0.30%,0.10%,0.40%,,0.00%,0.30%,0.60%
2017/5/12,20:30,0.30%,0.50%,0.30%,,0.40%,0.60%,0.10%,,0.20%,0.40%,0.70%
2017/4/14,20:30,0.00%,0.10%,0.20%,,-0.20%,-0.10%,-0.30%,,0.50%,0.30%,-0.20%
2017/3/15,20:30,0.20%,0.20%,1.20%,,0.10%,0.10%,0.60%,,0.10%,0.20%,0.80%
2017/2/15,21:30,0.80%,0.40%,0.40%,,0.40%,0.10%,1.00%,,0.40%,0.30%,0.40%
2017/1/13,21:30,0.20%,0.50%,0.30%,,0.60%,0.70%,0.20%,,0.20%,0.40%,0.10%
2016/12/14,21:30,0.20%,0.40%,0.60%,,0.10%,0.30%,0.60%,,0.10%,0.30%,0.60%
2016/11/15,21:30,0.80%,0.50%,0.70%,,0.80%,0.60%,1.00%,,0.80%,0.30%,0.30%
2016/10/14,20:30,0.50%,0.40%,-0.20%,,0.60%,0.60%,-0.20%,,0.10%,0.40%,-0.10%
2016/9/15,20:30,-0.10%,0.20%,-0.40%,,-0.30%,-0.10%,0.10%,,-0.10%,0.30%,-0.10%
2016/8/12,20:30,-0.30%,0.20%,0.90%,,0.00%,0.40%,0.80%,,0.00%,0.30%,0.50%
2016/7/15,20:30,0.70%,0.40%,0.40%,,0.60%,0.10%,0.20%,,0.50%,0.30%,0.50%
2016/6/14,20:30,0.40%,0.40%,0.80%,,0.50%,0.30%,1.30%,,0.40%,0.30%,1.00%
2016/5/13,20:30,0.80%,0.50%,0.40%,,1.30%,0.80%,-0.30%,,0.90%,0.30%,0.20%
2016/4/13,20:30,0.20%,0.40%,-0.10%,,-0.30%,0.10%,-0.10%,,0.10%,0.30%,0.10%
2016/3/15,20:30,-0.10%,-0.20%,-0.40%,,-0.10%,-0.20%,-0.40%,,0.00%,0.20%,0.20%
2016/2/12,21:30,0.10%,0.10%,0.10%,,0.20%,0.10%,0.20%,,0.60%,0.30%,-0.30%
2016/1/15,21:30,-0.10%,0.20%,0.30%,,-0.10%,0.10%,0.40%,,-0.30%,0.30%,0.50%
2015/12/11,21:30,0.40%,0.30%,0.10%,,0.20%,0.30%,0.10%,,0.60%,0.40%,0.20%
2015/11/13,21:30,0.20%,0.40%,-0.40%,,0.10%,0.30%,0.10%,,0.20%,0.40%,0.10%
2015/10/14,20:30,-0.30%,-0.10%,-0.10%,,0.10%,0.20%,0.00%,,-0.10%,0.30%,0.20%
