发布日期,时间,今值,预测值,前值
2020年11月19日,21:30,"6,372K","6,470K","6,801K"
2020年11月12日,21:30,"6,786K","6,900K","7,222K"
2020年11月5日,21:30,"7,285K","7,200K","7,823K"
2020年10月29日,20:30,"7,756K","7,700K","8,465K"
2020年10月22日,20:30,"8,373K","9,500K","9,397K"
2020年10月15日,20:30,"10,018K","10,700K","11,183K"
2020年10月8日,20:30,"10,976K","11,400K","11,979K"
2020年10月1日,20:30,"11,767K","12,225K","12,747K"
2020年9月24日,20:30,"12,580K","12,300K","12,747K"
2020年9月17日,20:30,"12,628K","13,000K","13,544K"
2020年9月10日,20:30,"13,385K","12,925K","13,292K"
2020年9月3日,20:30,"13,254K","14,000K","14,492K"
2020年8月27日,20:30,"14,535K","14,450K","14,758K"
2020年8月20日,20:30,"14,844K","15,000K","15,480K"
2020年8月13日,20:30,"15,486K","15,898K","16,090K"
2020年8月6日,20:30,"16,107K","16,720K","16,951K"
2020年7月30日,20:30,"17,018K","16,200K","16,151K"
2020年7月23日,20:30,"16,197K","17,067K","17,304K"
2020年7月16日,20:30,"17,338K","17,600K","17,760K"
2020年7月9日,20:30,"18,062K","18,950K","18,760K"
2020年7月2日,20:30,"19,290K","19,000K","19,231K"
2020年6月25日,20:30,"19,522K","19,968K","20,289K"
2020年6月18日,20:30,"20,544K","19,800K","20,606K"
2020年6月11日,20:30,"20,929K","20,000K","21,268K"
2020年6月4日,20:30,"21,487K","20,050K","20,838K"
2020年5月28日,20:30,"21,052K","25,750K","24,912K"
2020年5月21日,20:30,"25,073K","24,765K","22,548K"
2020年5月14日,20:30,"22,833K","25,100K","22,377K"
2020年5月7日,20:30,"22,647K","19,905K","18,011K"
2020年4月30日,20:30,"17,992K","19,238K","15,818K"
2020年4月23日,20:30,"15,976K","16,476K","11,912K"
2020年4月16日,20:30,"11,976K","13,500K","7,446K"
2020年4月9日,20:30,"7,455K","8,000K","3,059K"
2020年4月2日,20:30,"3,029K","4,882K","1,784K"
2020年3月26日,20:30,"1,803K",,"1,702K"
2020年3月19日,20:30,"1,701K","1,725K","1,699K"
2020年3月12日,20:30,"1,722K","1,723K","1,733K"
2020年3月5日,21:30,"1,729K","1,733K","1,722K"
2020年2月27日,21:30,"1,724K","1,715K","1,733K"
2020年2月20日,21:30,"1,726K","1,720K","1,701K"
2020年2月13日,21:30,"1,698K","1,745K","1,759K"
2020年2月6日,21:30,"1,751K","1,720K","1,703K"
2020年1月30日,21:30,"1,703K","1,733K","1,747K"
2020年1月23日,21:30,"1,731K","1,746K","1,768K"
2020年1月16日,21:30,"1,767K","1,720K","1,804K"
2020年1月9日,21:30,"1,803K",,"1,728K"
2020年1月2日,21:30,"1,728K","1,717K","1,723K"
2019年12月26日,21:30,"1,719K",,"1,725K"
2019年12月19日,21:30,"1,722K","1,681K","1,671K"
2019年12月12日,21:30,"1,667K","1,678K","1,698K"
2019年12月5日,21:30,"1,693K","1,650K","1,642K"
2019年11月27日,21:30,"1,640K","1,690K","1,697K"
2019年11月21日,21:30,"1,695K","1,685K","1,692K"
2019年11月14日,21:30,"1,683K","1,687K","1,693K"
2019年11月7日,21:30,"1,689K","1,683K","1,690K"
2019年10月31日,20:30,"1,690K","1,680K","1,683K"
2019年10月24日,20:30,"1,682K","1,675K","1,683K"
2019年10月17日,20:30,"1,679K","1,682K","1,689K"
2019年10月10日,20:30,"1,684K","1,653K","1,655K"
2019年10月3日,20:30,"1,651K","1,645K","1,656K"
2019年9月26日,20:30,"1,650K","1,665K","1,665K"
2019年9月19日,20:30,"1,661K","1,672K","1,674K"
2019年9月12日,20:30,"1,670K","1,690K","1,674K"
2019年9月5日,20:30,"1,662K","1,685K","1,701K"
2019年8月29日,20:30,"1,698K","1,680K","1,676K"
2019年8月22日,20:30,"1,674K","1,700K","1,728K"
2019年8月15日,20:30,"1,726K","1,690K","1,687K"
2019年8月8日,20:30,"1,684K","1,690K","1,699K"
2019年8月1日,20:30,"1,699K","1,678K","1,677K"
2019年7月25日,20:30,"1,676K","1,688K","1,689K"
2019年7月18日,20:30,"1,686K","1,700K","1,728K"
2019年7月11日,20:30,"1,723K","1,685K","1,696K"
2019年7月3日,20:30,"1,686K","1,675K","1,694K"
2019年6月27日,20:30,"1,688K","1,665K","1,666K"
2019年6月20日,20:30,"1,662K","1,688K","1,699K"
2019年6月13日,20:30,"1,695K","1,680K","1,693K"
2019年6月6日,20:30,"1,682K","1,660K","1,662K"
2019年5月30日,20:30,"1,657K","1,662K","1,664K"
2019年5月23日,20:30,"1,676K","1,670K","1,664K"
2019年5月16日,20:30,"1,660K","1,680K","1,688K"
2019年5月9日,20:30,"1,684K","1,670K","1,671K"
2019年5月2日,20:30,"1,671K","1,659K","1,654K"
2019年4月25日,20:30,"1,655K","1,699K","1,654K"
2019年4月18日,20:30,"1,653K","1,720K","1,716K"
2019年4月11日,20:30,"1,713K","1,738K","1,726K"
2019年4月4日,20:30,"1,717K","1,750K","1,755K"
2019年3月28日,20:30,"1,756K","1,750K","1,743K"
2019年3月21日,20:30,"1,750K","1,772K","1,777K"
2019年3月14日,20:30,"1,776K","1,775K","1,758K"
2019年3月7日,21:30,"1,755K","1,775K","1,805K"
2019年2月28日,21:30,"1,805K","1,733K","1,726K"
2019年2月21日,21:30,"1,725K","1,740K","1,780K"
2019年2月14日,21:30,"1,773K","1,740K","1,736K"
2019年2月7日,21:30,"1,736K","1,720K","1,778K"
2019年1月31日,21:30,"1,782K","1,735K","1,713K"
2019年1月24日,21:30,"1,713K","1,735K","1,737K"
2019年1月17日,21:30,"1,737K","1,735K","1,719K"
2019年1月10日,21:30,"1,722K","1,714K","1,750K"
2019年1月3日,21:30,"1,740K",,"1,708K"
2018年12月27日,21:30,"1,701K","1,665K","1,705K"
2018年12月20日,21:30,"1,688K","1,665K","1,661K"
2018年12月13日,21:30,"1,661K","1,650K","1,636K"
2018年12月6日,21:30,"1,631K","1,700K","1,705K"
2018年11月29日,21:30,"1,710K","1,664K","1,660K"
2018年11月21日,21:30,"1,668K","1,635K","1,670K"
2018年11月15日,21:30,"1,676K","1,630K","1,630K"
2018年11月8日,21:30,"1,623K","1,635K","1,631K"
2018年11月1日,20:30,"1,631K","1,640K","1,638K"
2018年10月25日,20:30,"1,636K","1,653K","1,641K"
2018年10月18日,20:30,"1,640K","1,665K","1,653K"
2018年10月11日,20:30,"1,660K","1,660K","1,656K"
2018年10月4日,20:30,"1,650K","1,665K","1,663K"
2018年9月27日,20:30,"1,661K","1,684K","1,645K"
2018年9月20日,20:30,"1,645K","1,705K","1,700K"
2018年9月13日,20:30,"1,696K","1,710K","1,711K"
2018年9月6日,20:30,"1,707K","1,710K","1,710K"
2018年8月30日,20:30,"1,708K","1,725K","1,728K"
2018年8月23日,20:30,"1,727K","1,731K","1,729K"
2018年8月16日,20:30,"1,721K","1,750K","1,760K"
2018年8月9日,20:30,"1,755K","1,740K","1,726K"
2018年8月2日,20:30,"1,724K","1,750K","1,747K"
2018年7月26日,20:30,"1,745K","1,730K","1,753K"
2018年7月19日,20:30,"1,751K","1,730K","1,743K"
2018年7月12日,20:30,"1,739K","1,720K","1,742K"
2018年7月5日,20:30,"1,739K","1,720K","1,707K"
2018年6月28日,20:30,"1,705K","1,725K","1,726K"
2018年6月21日,20:30,"1,723K","1,730K","1,701K"
2018年6月14日,20:30,"1,697K","1,737K","1,746K"
2018年6月7日,20:30,"1,741K","1,738K","1,720K"
2018年5月31日,20:30,"1,726K","1,749K","1,742K"
2018年5月24日,20:30,"1,741K","1,754K","1,712K"
2018年5月17日,20:30,"1,707K","1,780K","1,794K"
2018年5月10日,20:30,"1,790K","1,778K","1,760K"
2018年5月3日,20:30,"1,756K","1,838K","1,833K"
2018年4月26日,20:30,"1,837K","1,850K","1,866K"
2018年4月19日,20:30,"1,863K","1,848K","1,878K"
2018年4月12日,20:30,"1,871K","1,848K","1,818K"
2018年4月5日,20:30,"1,808K","1,849K","1,872K"
2018年3月29日,20:30,"1,871K","1,875K","1,836K"
2018年3月22日,20:30,"1,828K","1,890K","1,885K"
2018年3月15日,20:30,"1,879K","1,900K","1,875K"
2018年3月8日,21:30,"1,870K","1,921K","1,934K"
2018年3月1日,21:30,"1,931K","1,930K","1,874K"
2018年2月22日,21:30,"1,875K","1,930K","1,948K"
2018年2月15日,21:30,"1,942K","1,925K","1,927K"
2018年2月8日,21:30,"1,923K","1,945K","1,956K"
2018年2月1日,21:30,"1,953K","1,928K","1,940K"
2018年1月25日,21:30,"1,937K","1,925K","1,965K"
2018年1月18日,21:30,"1,952K","1,900K","1,876K"
2018年1月11日,21:30,"1,867K","1,915K","1,902K"
2018年1月4日,21:30,"1,914K","1,925K","1,951K"
2017年12月28日,21:30,"1,943K","1,900K","1,936K"
2017年12月21日,21:30,"1,932K","1,900K","1,889K"
2017年12月14日,21:30,"1,886K","1,900K","1,913K"
2017年12月7日,21:30,"1,908K","1,908K","1,960K"
2017年11月30日,21:30,"1,957K",,"1,915K"
2017年11月22日,21:30,"1,904K","1,882K","1,868K"
2017年11月16日,21:30,"1,860K","1,895K","1,904K"
2017年11月9日,21:30,"1,901K","1,890K","1,884K"
2017年11月2日,20:30,"1,884K","1,897K","1,899K"
2017年10月26日,20:30,"1,893K","1,890K","1,896K"
2017年10月19日,20:30,"1,888K","1,900K","1,904K"
2017年10月12日,20:30,"1,889K","1,935K","1,921K"
2017年10月5日,20:30,"1,938K","1,950K","1,936K"
2017年9月28日,20:30,"1,934K","1,990K","1,979K"
2017年9月21日,20:30,"1,980K","1,975K","1,936K"
2017年9月14日,20:30,"1,944K","1,985K","1,951K"
2017年9月7日,20:30,"1,940K","1,950K","1,945K"
2017年8月31日,20:30,"1,942K","1,950K","1,954K"
2017年8月24日,20:30,"1,954K","1,950K","1,954K"
2017年8月17日,20:30,"1,953K","1,953K","1,956K"
2017年8月10日,20:30,"1,951K","1,960K","1,967K"
2017年8月3日,20:30,"1,968K","1,955K","1,965K"
2017年7月27日,20:30,"1,964K","1,950K","1,977K"
2017年7月20日,20:30,"1,977K","1,950K","1,949K"
2017年7月13日,20:30,"1,945K","1,950K","1,965K"
2017年7月6日,20:30,"1,956K","1,939K","1,945K"
2017年6月29日,20:30,"1,948K","1,940K","1,942K"
2017年6月22日,20:30,"1,944K","1,928K","1,936K"
2017年6月15日,20:30,"1,935K","1,923K","1,929K"
2017年6月8日,20:30,"1,917K","1,920K","1,919K"
2017年6月1日,20:30,"1,915K","1,920K","1,924K"
2017年5月25日,20:30,"1,923K","1,925K","1,899K"
2017年5月18日,20:30,"1,898K","1,960K","1,920K"
2017年5月11日,20:30,"1,918K","1,980K","1,979K"
2017年5月4日,20:30,"1,964K","2,000K","1,987K"
2017年4月27日,20:30,"1,988K","2,005K","1,978K"
2017年4月20日,20:30,"1,979K","2,020K","2,028K"
2017年4月13日,20:30,"2,028K","2,028K","2,035K"
2017年4月6日,20:30,"2,028K","2,040K","2,052K"
