发布日期,时间,今值,预测值,前值
2013年7月17日,16:30,-21.2K,-8.0K,-16.2K
2013年6月12日,16:30,-8.6K,-5.0K,-11.8K
2013年5月15日,16:30,-7.3K,-3.0K,-9.9K
2013年4月17日,16:30,-7.0K,0.5K,-5.3K
2013年3月20日,17:30,-1.5K,-5.0K,-10.0K
2013年2月20日,17:30,-12.5K,-5.0K,-15.8K
2013年1月23日,17:30,-12.1K,0.1K,-8.9K
2012年12月12日,17:30,-3.0K,7.0K,6.0K
2012年11月14日,17:30,10.1K,-5.1K,0.8K
2012年10月17日,16:30,-4.0K,-1.0K,-14.2K
2012年9月12日,16:30,-15.0K,0.5K,-13.6K
2012年8月15日,16:30,-5.9K,6.0K,1.0K
2012年7月18日,16:30,6.1K,5.0K,6.9K
2012年6月20日,16:30,8.1K,-3.0K,-12.8K
2012年5月16日,16:30,-13.7K,5.0K,-5.4K
2012年4月18日,16:30,3.6K,7.0K,4.5K
2012年3月14日,17:30,7.2K,6.0K,7.0K
2012年2月15日,17:30,6.9K,3.2K,1.9K
2012年1月18日,17:30,1.2K,8.0K,0.2K
2011年12月14日,17:30,3.0K,17.0K,2.5K
2011年11月16日,17:30,5.3K,21.0K,13.4K
2011年10月12日,16:30,17.5K,24.0K,19.1K
2011年9月14日,16:30,20.3K,35.0K,33.7K
2011年8月17日,16:30,37.1K,20.0K,31.3K
2011年7月13日,16:30,24.5K,15.0K,22.5K
2011年6月15日,16:30,19.6K,6.5K,16.9K
2011年5月18日,16:30,12.4K,0.5K,6.4K
2011年4月13日,16:30,0.7K,-3.0K,-8.5K
2011年3月16日,17:30,-10.2K,1.3K,1.5K
2011年2月16日,17:30,2.4K,-3.3K,-3.4K
2011年1月19日,17:30,-4.1K,-1.4K,-3.2K
2010年12月15日,17:30,-1.2K,-3.0K,-5.2K
2010年11月17日,17:30,-3.7K,6.0K,1.3K
2010年10月13日,16:30,5.3K,3.9K,3.8K
2010年9月15日,16:30,2.3K,-5.1K,-1.0K
2010年8月11日,16:30,-3.8K,-17.4K,-15.9K
2010年7月14日,16:30,-20.8K,-20.2K,-31.1K
2010年6月16日,16:30,-30.9K,-25.3K,-32.0K
2010年5月12日,16:30,-27.1K,-20.1K,-32.7K
2010年4月21日,16:30,-32.9K,-6.0K,-40.1K
2010年3月17日,17:30,-32.3K,8.5K,5.3K
2010年2月17日,17:30,23.5K,-15.0K,-9.6K
2010年1月20日,17:30,-15.2K,-3.0K,-10.8K
2009年12月16日,17:30,-6.3K,14.0K,5.9K
2009年11月11日,17:30,12.9K,20.8K,20.6K
2009年10月14日,16:30,20.8K,24.8K,23.0K
2009年9月16日,16:30,24.4K,24.6K,25.2K
2009年8月12日,16:30,24.9K,25.5K,21.5K
2009年7月15日,16:30,23.8K,41.9K,30.8K
2009年6月17日,16:30,39.3K,60.5K,49.6K
2009年5月12日,21:00,57.1K,85.0K,65.5K
2009年4月22日,16:30,73.7K,117.0K,136.6K
2009年3月18日,17:30,138.4K,84.5K,73.8K
2009年2月11日,17:30,73.8K,88.5K,79.9K
2009年1月21日,17:30,77.9K,82.0K,83.1K
2008年12月17日,17:30,75.7K,45.0K,36.5K
2008年11月12日,17:30,36.5K,40.0K,31.8K
2008年10月15日,16:30,31.8K,35.5K,32.5K
2008年9月17日,16:30,32.5K,22.2K,20.1K
2008年8月13日,16:30,20.1K,17.5K,15.5K
2008年7月16日,16:30,15.5K,10.0K,9.0K
2008年6月11日,17:30,9.0K,8.0K,7.2K
2008年5月14日,17:30,7.2K,0.1K,-1.2K
2008年4月16日,16:30,-1.2K,-1.8K,-2.8K
2008年3月19日,17:30,-2.8K,-5.0K,-10.8K
2008年2月13日,17:30,-10.8K,-5.2K,-8.7K
2008年1月1日,17:00,-10.00K,,-11.10K
2007年12月1日,17:00,-11.10K,,-8.20K
2007年11月1日,17:00,-8.20K,,-6.80K
2007年10月1日,17:00,-6.80K,,-5.00K
2007年9月1日,17:00,-5.00K,,-5.60K
2007年8月1日,17:00,-5.60K,,-8.90K
2007年7月1日,17:00,-8.90K,,-7.40K
2007年6月1日,17:00,-7.40K,,-18.60K
2007年5月1日,17:00,-18.60K,,-14.70K
2007年4月1日,17:00,-14.70K,,-14.10K
2007年3月1日,17:00,-14.10K,,-14.30K
2007年2月1日,17:00,-14.30K,,-9.40K
2007年1月1日,17:00,-9.40K,,-9.30K
2006年12月1日,17:00,-9.30K,,0.60K
2006年11月1日,17:00,0.60K,,6.50K
2006年10月1日,17:00,6.50K,,-5.20K
2006年9月1日,17:00,-5.20K,,0.80K
2006年8月1日,17:00,0.80K,,5.40K
2006年7月1日,17:00,5.40K,,5.00K
