发布日期,时间,今值,预测值,前值
1977年5月1日,17:00,9.70K,,0.50K
1977年4月1日,17:00,0.50K,,-3.70K
1977年3月1日,17:00,-3.70K,,2.30K
1977年2月1日,17:00,2.30K,,3.70K
1977年1月1日,17:00,3.70K,,7.30K
1976年12月1日,17:00,7.30K,,-9.20K
1976年11月1日,17:00,-9.20K,,-0.60K
1976年10月1日,17:00,-0.60K,,14.60K
1976年9月1日,17:00,14.60K,,7.50K
1976年8月1日,17:00,7.50K,,-2.70K
1976年7月1日,17:00,-2.70K,,18.10K
1976年6月1日,17:00,18.10K,,14.50K
1976年5月1日,17:00,14.50K,,13.30K
1976年4月1日,17:00,13.30K,,20.30K
1976年3月1日,17:00,20.30K,,24.90K
1976年2月1日,17:00,24.90K,,27.00K
1976年1月1日,17:00,27.00K,,35.70K
1975年12月1日,17:00,35.70K,,57.40K
1975年11月1日,17:00,57.40K,,31.20K
1975年10月1日,17:00,31.20K,,27.10K
1975年9月1日,17:00,27.10K,,44.50K
1975年8月1日,17:00,44.50K,,39.80K
1975年7月1日,17:00,39.80K,,51.00K
1975年6月1日,17:00,51.00K,,41.70K
1975年5月1日,17:00,41.70K,,32.60K
1975年4月1日,17:00,32.60K,,21.30K
1975年3月1日,17:00,21.30K,,29.30K
1975年2月1日,17:00,29.30K,,13.60K
1975年1月1日,17:00,13.60K,,5.20K
1974年12月1日,17:00,5.20K,,5.40K
1974年11月1日,17:00,5.40K,,4.10K
1974年10月1日,17:00,4.10K,,19.40K
1974年9月1日,17:00,19.40K,,1.90K
1974年8月1日,17:00,1.90K,,14.60K
1974年7月1日,17:00,14.60K,,-3.10K
1974年6月1日,17:00,-3.10K,,2.60K
1974年5月1日,17:00,2.60K,,8.20K
1974年4月1日,17:00,8.20K,,17.90K
1974年3月1日,17:00,17.90K,,46.10K
1974年2月1日,17:00,46.10K,,-18.60K
1974年1月1日,17:00,-18.60K,,-15.30K
1973年12月1日,17:00,-15.30K,,-12.90K
1973年11月1日,17:00,-12.90K,,-17.40K
1973年10月1日,17:00,-17.40K,,-19.50K
1973年9月1日,17:00,-19.50K,,-23.90K
1973年8月1日,17:00,-23.90K,,-7.40K
1973年7月1日,17:00,-7.40K,,-9.60K
1973年6月1日,17:00,-9.60K,,-13.10K
1973年5月1日,17:00,-13.10K,,-14.00K
1973年4月1日,17:00,-14.00K,,-29.40K
1973年3月1日,17:00,-29.40K,,-35.70K
1973年2月1日,17:00,-35.70K,,-26.80K
1973年1月1日,17:00,-26.80K,,-14.50K
1972年12月1日,17:00,-14.50K,,-16.00K
1972年11月1日,17:00,-16.00K,,4.00K
1972年10月1日,17:00,4.00K,,-17.10K
1972年9月1日,17:00,-17.10K,,-12.60K
1972年8月1日,17:00,-12.60K,,-23.40K
1972年7月1日,17:00,-23.40K,,-30.10K
1972年6月1日,17:00,-30.10K,,-3.70K
1972年5月1日,17:00,-3.70K,,11.10K
1972年4月1日,17:00,11.10K,,14.40K
1972年3月1日,17:00,14.40K,,-3.60K
1972年2月1日,17:00,-3.60K,,10.10K
1972年1月1日,17:00,10.10K,,31.80K
1971年12月1日,17:00,31.80K,,31.80K
1971年11月1日,17:00,31.80K,,19.90K
1971年10月1日,17:00,19.90K,,1.20K
1971年9月1日,17:00,1.20K,,7.70K
1971年8月1日,17:00,7.70K,,13.50K
1971年7月1日,17:00,13.50K,,42.60K
1971年6月1日,17:00,42.60K,,25.60K
1971年5月1日,17:00,25.60K,,21.20K
1971年4月1日,17:00,21.20K,,18.70K
