发布日期,美国核心PCE物价指数月率,今值,预测值,前值,美国核心个人消费支出平减指数(PCE)年化季率,今值,预测值,前值
2017年5月1日,20:30,-0.10%,-0.10%,0.20%,20:30,1.60%,,1.80%
2017年3月31日,21:30,0.20%,0.20%,0.30%,20:30,1.80%,1.70%,1.80%
2017年3月1日,21:30,0.30%,0.20%,0.10%,21:30,1.70%,1.80%,1.70%
2017年1月30日,23:00,0.10%,0.10%,0.00%,21:30,1.70%,1.70%,1.70%
2016年12月22日,21:30,0.00%,0.10%,0.10%,23:00,1.60%,,1.80%
2016年11月30日,20:30,0.10%,0.10%,0.10%,21:30,1.70%,,1.70%
2016年10月31日,20:30,0.10%,0.10%,0.20%,20:30,1.70%,1.70%,1.70%
2016年9月30日,20:30,0.20%,0.20%,0.10%,20:30,1.70%,1.70%,1.60%
2016年8月29日,20:30,0.10%,0.10%,0.10%,20:30,1.60%,1.50%,1.60%
2016年8月2日,20:30,0.10%,0.10%,0.20%,20:30,1.60%,1.60%,1.60%
2016年6月29日,20:30,0.20%,0.20%,0.20%,20:30,1.60%,1.60%,1.60%
2016年5月31日,20:30,0.20%,0.20%,0.10%,20:30,1.60%,1.60%,1.60%
2016年4月29日,20:30,0.10%,0.10%,0.20%,20:30,1.60%,,1.70%
2016年3月28日,23:00,0.10%,0.20%,0.30%,20:30,1.70%,1.80%,1.70%
2016年2月26日,21:30,0.30%,0.20%,0.10%,23:00,1.70%,1.50%,1.50%
2016年2月1日,21:30,0.00%,0.10%,0.20%,21:30,1.40%,1.40%,1.40%
2015年12月23日,21:30,0.10%,0.10%,0.00%,21:30,1.30%,1.40%,1.30%
2015年11月25日,20:30,0.00%,0.10%,0.20%,21:30,1.30%,1.30%,1.30%
2015年10月30日,20:30,0.10%,0.20%,0.10%,20:30,1.30%,,1.30%
2015年9月28日,20:30,0.10%,0.10%,0.10%,20:30,1.30%,1.20%,1.20%
2015年8月28日,20:30,0.10%,0.10%,0.10%,20:30,1.20%,1.30%,1.30%
2015年8月3日,20:30,0.10%,0.10%,0.10%,20:30,1.30%,1.20%,1.30%
2015年6月25日,20:30,0.10%,0.10%,0.10%,20:30,1.20%,1.20%,1.30%
2015年6月1日,20:30,0.10%,0.20%,0.10%,20:30,1.20%,1.30%,1.30%
2015年4月30日,20:30,0.10%,0.20%,0.10%,20:30,1.30%,1.40%,1.30%
2015年3月30日,21:30,0.10%,0.10%,0.10%,20:30,1.40%,1.30%,1.30%
2015年3月2日,21:30,0.10%,0.10%,0.00%,21:30,1.30%,1.20%,1.30%
2015年2月2日,23:00,0.00%,0.10%,0.00%,21:30,1.30%,1.30%,1.40%
2014年12月23日,21:30,0.00%,0.10%,0.20%,23:00,1.40%,,1.50%
2014年11月26日,20:30,0.20%,0.10%,0.10%,21:30,1.60%,1.50%,1.50%
2014年10月31日,20:30,0.10%,0.10%,0.10%,20:30,1.50%,,1.50%
2014年9月29日,20:30,0.10%,0.10%,0.10%,20:30,1.50%,,1.50%
2014年8月29日,,0.10%,0.10%,0.10%,20:30,1.50%,,1.50%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
